127.0.0.1 - - [18/Apr/2016:10:51:19 +0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Apr/2016:10:51:27 +0200] "GET /Team11JSF/faces/pages/site.xhtml HTTP/1.1" 200 4461
0:0:0:0:0:0:0:1 - - [18/Apr/2016:10:51:27 +0200] "GET /Team11JSF/faces/javax.faces.resource/css/teststyle.css;jsessionid=8239434438542D0CEDD153D427716220 HTTP/1.1" 200 3018
0:0:0:0:0:0:0:1 - - [18/Apr/2016:10:51:27 +0200] "GET /Team11JSF/faces/javax.faces.resource/jquery/jquery.js;jsessionid=8239434438542D0CEDD153D427716220?ln=primefaces&v=5.2 HTTP/1.1" 200 108195
0:0:0:0:0:0:0:1 - - [18/Apr/2016:10:51:27 +0200] "GET /Team11JSF/faces/javax.faces.resource/primefaces.css;jsessionid=8239434438542D0CEDD153D427716220?ln=primefaces&v=5.2 HTTP/1.1" 200 63503
0:0:0:0:0:0:0:1 - - [18/Apr/2016:10:51:27 +0200] "GET /Team11JSF/faces/javax.faces.resource/primefaces.js;jsessionid=8239434438542D0CEDD153D427716220?ln=primefaces&v=5.2 HTTP/1.1" 200 340589
0:0:0:0:0:0:0:1 - - [18/Apr/2016:10:51:27 +0200] "GET /Team11JSF/faces/javax.faces.resource/jquery/jquery-plugins.js;jsessionid=8239434438542D0CEDD153D427716220?ln=primefaces&v=5.2 HTTP/1.1" 200 240240
0:0:0:0:0:0:0:1 - - [18/Apr/2016:10:51:27 +0200] "GET /Team11JSF/resources/images/logo.jpg;jsessionid=8239434438542D0CEDD153D427716220 HTTP/1.1" 200 7014
0:0:0:0:0:0:0:1 - - [18/Apr/2016:10:51:27 +0200] "GET /Team11JSF/faces/javax.faces.resource/image/logo.jpeg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [18/Apr/2016:10:51:38 +0200] "POST /Team11JSF/faces/pages/site.xhtml;jsessionid=8239434438542D0CEDD153D427716220 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Apr/2016:10:51:38 +0200] "GET /Team11JSF/faces/pages/news/news-view.xhtml HTTP/1.1" 200 255
0:0:0:0:0:0:0:1 - - [18/Apr/2016:10:51:40 +0200] "GET /Team11JSF/faces/javax.faces.resource/image/logo.jpeg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [18/Apr/2016:10:51:41 +0200] "POST /Team11JSF/faces/pages/site.xhtml;jsessionid=8239434438542D0CEDD153D427716220 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Apr/2016:10:51:42 +0200] "GET /Team11JSF/faces/pages/books/books-view.xhtml HTTP/1.1" 200 8875
0:0:0:0:0:0:0:1 - - [18/Apr/2016:10:51:42 +0200] "GET /Team11JSF/faces/javax.faces.resource/image/logo.jpeg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [18/Apr/2016:10:51:42 +0200] "POST /Team11JSF/faces/pages/books/books-view.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Apr/2016:10:51:42 +0200] "GET /Team11JSF/faces/pages/books/books-view.xhtml HTTP/1.1" 200 8878
0:0:0:0:0:0:0:1 - - [18/Apr/2016:10:51:43 +0200] "GET /Team11JSF/faces/javax.faces.resource/image/logo.jpeg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [18/Apr/2016:10:51:44 +0200] "POST /Team11JSF/faces/pages/books/books-view.xhtml HTTP/1.1" 200 5231
0:0:0:0:0:0:0:1 - - [18/Apr/2016:10:51:45 +0200] "POST /Team11JSF/faces/pages/books/books-view.xhtml HTTP/1.1" 200 5231
0:0:0:0:0:0:0:1 - - [18/Apr/2016:10:51:53 +0200] "POST /Team11JSF/faces/pages/books/books-view.xhtml HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [18/Apr/2016:10:51:53 +0200] "GET /Team11JSF/faces/pages/index.xhtml HTTP/1.1" 200 2541
0:0:0:0:0:0:0:1 - - [18/Apr/2016:10:51:53 +0200] "GET /Team11JSF/faces/javax.faces.resource/image/logo.jpeg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [18/Apr/2016:10:52:04 +0200] "GET /Team11JSF/faces/pages/index.xhtml HTTP/1.1" 500 6124
