0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:27:50 +0200] "POST /Team11JSF/faces/pages/books/books-view.xhtml HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:27:50 +0200] "GET /Team11JSF/faces/pages/index.xhtml HTTP/1.1" 200 2541
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:27:50 +0200] "GET /Team11JSF/faces/javax.faces.resource/image/logo.jpeg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:27:51 +0200] "POST /Team11JSF/faces/pages/index.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:27:51 +0200] "GET /Team11JSF/faces/pages/books/books-view-logged.xhtml HTTP/1.1" 200 9054
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:27:51 +0200] "GET /Team11JSF/faces/javax.faces.resource/image/logo.jpeg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:27:53 +0200] "POST /Team11JSF/faces/pages/books/books-view-logged.xhtml HTTP/1.1" 200 5237
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:27:54 +0200] "POST /Team11JSF/faces/pages/books/books-view-logged.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:27:55 +0200] "GET /Team11JSF/faces/pages/books/book-update.xhtml HTTP/1.1" 200 11291
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:27:55 +0200] "GET /Team11JSF/faces/javax.faces.resource/image/logo.jpeg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:28:03 +0200] "POST /Team11JSF/faces/pages/books/book-update.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:28:03 +0200] "GET /Team11JSF/faces/pages/impression/impression-create.xhtml HTTP/1.1" 200 4621
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:28:04 +0200] "GET /Team11JSF/faces/javax.faces.resource/image/logo.jpeg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:28:09 +0200] "POST /Team11JSF/faces/pages/impression/impression-create.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:28:10 +0200] "GET /Team11JSF/faces/pages/news/news-create.xhtml HTTP/1.1" 200 5039
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:28:10 +0200] "GET /Team11JSF/faces/javax.faces.resource/image/logo.jpeg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:28:12 +0200] "POST /Team11JSF/faces/pages/news/news-create.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:28:12 +0200] "GET /Team11JSF/faces/pages/books/books-create.xhtml HTTP/1.1" 200 8327
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:28:13 +0200] "GET /Team11JSF/faces/javax.faces.resource/image/logo.jpeg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:28:16 +0200] "POST /Team11JSF/faces/pages/books/books-create.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:28:16 +0200] "GET /Team11JSF/faces/pages/site.xhtml HTTP/1.1" 200 4109
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:28:16 +0200] "GET /Team11JSF/faces/javax.faces.resource/image/logo.jpeg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:28:19 +0200] "POST /Team11JSF/faces/pages/site.xhtml HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:28:19 +0200] "GET /Team11JSF/faces/pages/user/user-create.xhtml HTTP/1.1" 200 8013
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:28:19 +0200] "GET /Team11JSF/faces/javax.faces.resource/image/logo.jpeg HTTP/1.1" 404 -
